depth	pressure	temperature	conductivity	latitude	longitude	ECO-CDOM	ECO-Chl(a)	ECO-SCATT	Oxygen_mg/L	pH	salinity	Sound_Velocity_(calc)	time
1.04	1.046	29.5387	62.3017	19.61229	38.72119	0.18	0.06	0.000596	4.96	8.111	38.0527	1547.842	1
1.08	1.087	29.5365	62.3058	19.61229	38.72119	0.36	0.06	0.000583	4.96	8.112	38.0573	1547.843	2
1.34	1.351	29.5355	62.3012	19.61229	38.72119	0.36	0.07	0.000546	4.96	8.112	38.0549	1547.842	3
1.23	1.233	29.5262	62.2801	19.61229	38.72118	0.18	0.04	0.000447	4.96	8.112	38.0477	1547.813	4
1.09	1.096	29.5205	62.2755	19.61229	38.72118	0.63	0.05	0.000429	4.97	8.113	38.0491	1547.801	5
1.12	1.132	29.5294	62.2884	19.61229	38.72118	0.27	0.07	0.000504	4.97	8.114	38.0509	1547.822	6
1.12	1.126	29.5262	62.2943	19.61228	38.72118	0.18	0.04	0.000517	4.97	8.114	38.0575	1547.822	7
1.25	1.256	29.5249	62.2803	19.61228	38.72118	0.27	0.06	0.001222	4.97	8.114	38.0488	1547.813	8
1.26	1.271	29.528	62.2953	19.61228	38.72118	0.31	0.07	0.001145	4.98	8.115	38.0567	1547.827	9
1.06	1.065	29.5317	62.3014	19.61228	38.72118	0.45	0.08	0.000642	4.99	8.115	38.0581	1547.833	10
1.08	1.086	29.5366	62.3076	19.61228	38.72117	0.81	0.07	0.000583	4.99	8.116	38.0585	1547.844	11
1.27	1.276	29.5319	62.2956	19.61227	38.72117	0.63	0.09	0.000563	4.99	8.116	38.0539	1547.833	12
1.17	1.179	29.5292	62.2913	19.61227	38.72117	0.54	0.07	0.000533	4.98	8.116	38.0531	1547.824	13
1.14	1.151	29.5254	62.2787	19.61227	38.72117	0.09	0.05	0.000544	4.98	8.117	38.0474	1547.81	14
1.25	1.262	29.5168	62.2772	19.61227	38.72116	0.36	0.08	0.00053	4.98	8.117	38.0532	1547.8	15
1.1	1.107	29.5158	62.2742	19.61226	38.72116	-0.27	0.07	0.000533	4.98	8.117	38.0519	1547.794	16
1.12	1.125	29.513	62.2753	19.61226	38.72116	0.27	0.08	0.000623	4.99	8.118	38.0549	1547.792	17
1.24	1.244	29.5188	62.3015	19.61226	38.72116	0	0.07	0.000513	4.99	8.118	38.0684	1547.82	18
1.19	1.201	29.5367	62.2917	19.61226	38.72116	0.99	0.05	0.000485	4.99	8.118	38.0474	1547.835	19
1.22	1.224	29.535	62.3137	19.61226	38.72115	0.5	0.06	0.00051	5	8.119	38.0639	1547.849	20
1.12	1.13	29.545	62.3109	19.61225	38.72115	0.27	0.09	0.000594	4.99	8.119	38.0541	1547.858	21
0.98	0.989	29.5431	62.3133	19.61225	38.72115	0.54	0.05	0.000526	4.99	8.12	38.0573	1547.855	22
1.28	1.283	29.5411	62.3135	19.61225	38.72115	0.27	0.08	0.000503	4.99	8.12	38.0589	1547.857	23
1.2	1.212	29.54	62.3349	19.61225	38.72115	0.18	0.09	0.000535	4.99	8.12	38.0746	1547.87	24
0.96	0.969	29.5515	62.3296	19.61224	38.72114	0.27	0.07	0.000482	4.98	8.121	38.062	1547.877	25
1.13	1.138	29.5485	62.3253	19.61224	38.72114	0.36	0.05	0.00051	4.98	8.121	38.0613	1547.873	26
1.05	1.053	29.5494	62.3259	19.61224	38.72113	0.45	0.06	0.00049	4.98	8.121	38.061	1547.873	27
0.98	0.987	29.5527	62.3232	19.61223	38.72113	0.5	0.07	0.000528	4.97	8.121	38.0565	1547.874	28
0.98	0.987	29.5516	62.3266	19.61223	38.72113	-0.54	0.06	0.000542	4.97	8.122	38.0597	1547.875	29
0.97	0.974	29.5512	62.3155	19.61223	38.72112	0.27	0.07	0.00056	4.97	8.122	38.0524	1547.866	30
0.95	0.952	29.5483	62.3189	19.61222	38.72112	0.45	0.06	0.000633	4.96	8.122	38.057	1547.865	31
0.88	0.882	29.5438	62.3183	19.61222	38.72112	0	0.06	0.000572	4.96	8.123	38.0602	1547.858	32
0.96	0.963	29.5471	62.3273	19.61222	38.72112	0.43	0.07	0.000951	4.97	8.123	38.0638	1547.87	33
1.15	1.158	29.5514	62.3228	19.61222	38.72111	0.81	0.08	0.001238	4.98	8.123	38.0573	1547.875	34
1.12	1.123	29.5411	62.3176	19.61221	38.72111	-0.36	0.06	0.000732	4.98	8.124	38.0619	1547.858	35
0.96	0.968	29.5325	62.2975	19.61221	38.7211	0.2	0.08	0.000967	4.99	8.124	38.0548	1547.83	36
0.96	0.961	29.5174	62.2718	19.61221	38.7211	0.36	0.08	0.001016	5	8.124	38.049	1547.792	37
0.96	0.967	29.5158	62.2686	19.6122	38.7211	0.18	0.07	0.000878	5	8.125	38.0481	1547.788	38
1.07	1.075	29.5041	62.2672	19.6122	38.72109	0.63	0.07	0.000855	5	8.125	38.0563	1547.774	39
0.87	0.871	29.5143	62.2877	19.6122	38.72109	-0.09	0.09	0.001607	5	8.125	38.0625	1547.798	40
0.79	0.795	29.5349	62.3102	19.61219	38.72108	0.25	0.08	0.001048	4.99	8.125	38.0617	1547.839	41
0.91	0.917	29.5342	62.3076	19.61219	38.72108	0.18	0.08	0.000689	4.99	8.126	38.0605	1547.838	42
0.7	0.701	29.5335	62.307	19.61219	38.72108	0.36	0.09	0.000719	5	8.126	38.0606	1547.833	43
0.68	0.682	29.5186	62.2582	19.61218	38.72107	0.18	0.09	0.000723	5	8.126	38.0387	1547.779	44
0.71	0.712	29.5254	62.2685	19.61218	38.72107	0.36	0.15	0.000996	5	8.127	38.0405	1547.795	45
0.56	0.566	29.5381	62.2814	19.61218	38.72106	0.25	0.07	0.000749	5	8.127	38.0393	1547.818	46
0.58	0.58	29.5417	62.288	19.61217	38.72106	0.18	0.05	0.000751	4.99	8.127	38.041	1547.828	47
0.49	0.489	29.5404	62.2849	19.61217	38.72105	0.36	0.1	0.00142	4.98	8.127	38.0399	1547.823	48
0.47	0.469	29.5383	62.2778	19.61217	38.72105	0.32	0.07	0.001147	4.96	8.127	38.0367	1547.814	49
0.46	0.468	29.5424	62.2851	19.61217	38.72105	0.27	0.06	0.001052	4.95	8.128	38.0385	1547.825	50
0.56	0.561	29.5443	62.2816	19.61216	38.72104	0.54	0.08	0.001356	4.94	8.128	38.0346	1547.826	51
0.66	0.667	29.5441	62.2748	19.61216	38.72104	0.54	0.07	0.001138	4.93	8.128	38.03	1547.823	52
0.62	0.623	29.5475	62.2759	19.61216	38.72104	0.36	0.07	0.001496	4.93	8.128	38.0281	1547.827	53
0.67	0.67	29.5479	62.2758	19.61215	38.72103	0.43	0.07	0.001848	4.93	8.129	38.0277	1547.828	54
0.69	0.697	29.5484	62.2754	19.61215	38.72103	-0.36	0.09	0.001739	4.92	8.13	38.027	1547.829	55
0.89	0.891	29.5312	62.2607	19.61215	38.72102	0.09	0.06	0.001836	4.92	8.13	38.0304	1547.8	56
0.73	0.732	29.5418	62.2494	19.61214	38.72102	-0.11	0.05	0.001859	4.93	8.13	38.0142	1547.803	57
0.69	0.696	29.5357	62.2658	19.61214	38.72102	0.36	0.09	0.001848	4.94	8.13	38.0303	1547.806	58
0.65	0.654	29.5399	62.2692	19.61214	38.72101	0.63	0.07	0.001494	4.95	8.13	38.0294	1547.813	59
0.5	0.501	29.5368	62.276	19.61213	38.72101	0.81	0.04	0.001682	4.96	8.13	38.0366	1547.812	60
0.62	0.623	29.5471	62.2772	19.61213	38.721	0.36	0.07	0.001614	4.96	8.131	38.0292	1547.828	61
0.51	0.51	29.5379	62.2787	19.61213	38.721	0.74	0.04	0.00154	4.96	8.131	38.0377	1547.815	62
0.37	0.374	29.5468	62.2814	19.61213	38.721	0.36	0.04	0.001549	4.95	8.131	38.0325	1547.826	63
0.45	0.455	29.5494	62.2885	19.61212	38.72099	0.9	0.05	0.001605	4.95	8.132	38.0353	1547.836	64
0.4	0.402	29.5521	62.2835	19.61212	38.72099	0.18	0.07	0.001582	4.95	8.131	38.0298	1547.835	65
0.36	0.359	29.5525	62.2877	19.61211	38.72099	0.63	0.07	0.001639	4.94	8.131	38.0324	1547.838	66
0.29	0.291	29.5524	62.2851	19.61211	38.72098	-0.04	0.05	0.001441	4.94	8.131	38.0306	1547.834	67
0.33	0.333	29.5524	62.2821	19.61211	38.72098	0.54	0.07	0.001499	4.94	8.132	38.0286	1547.833	68
0.45	0.448	29.5498	62.2889	19.6121	38.72097	0.63	0.05	0.001542	4.94	8.132	38.0353	1547.836	69
0.54	0.54	29.5515	62.2891	19.6121	38.72097	0.22	0.06	0.001365	4.94	8.132	38.034	1547.84	70
0.4	0.406	29.5538	62.2901	19.6121	38.72097	0.45	0.05	0.00142	4.93	8.133	38.0329	1547.842	71
0.41	0.413	29.5477	62.3045	19.61209	38.72097	0.18	0.09	0.002816	4.92	8.132	38.0478	1547.845	72
0.86	0.867	29.5566	62.3165	19.61209	38.72096	0.18	0.07	0.001796	4.92	8.132	38.0489	1547.872	73
0.76	0.768	29.562	62.3096	19.61209	38.72096	-0.45	0.07	0.000431	4.93	8.133	38.0398	1547.872	74
0.5	0.499	29.5642	62.3257	19.61208	38.72095	0.11	0.07	0.000508	4.95	8.133	38.0493	1547.882	75
0.71	0.716	29.5673	62.3345	19.61208	38.72095	0.54	0.05	0.000537	4.97	8.133	38.0528	1547.896	76
0.7	0.704	29.5768	62.3366	19.61208	38.72095	-0.09	0.09	0.000376	4.98	8.133	38.0468	1547.909	77
0.58	0.588	29.5747	62.3372	19.61207	38.72094	0.41	0.04	0.000293	4.99	8.133	38.0489	1547.905	78
0.56	0.56	29.5692	62.3432	19.61207	38.72094	0.27	0.08	0.000594	5	8.133	38.0574	1547.902	79
0.18	0.184	29.5743	62.3432	19.61207	38.72094	0.9	0.07	0.001285	5	8.134	38.0535	1547.902	80
0.14	0.145	29.5743	62.3454	19.61206	38.72094	-1.08	0.01	0.001141	4.99	8.133	38.0551	1547.903	81
0.56	0.564	29.5747	62.3367	19.61206	38.72093	1.08	0.04	0.000211	4.99	8.134	38.0486	1547.904	82
0.69	0.693	29.5786	62.3458	19.61206	38.72093	-0.04	0.07	0.000238	4.99	8.135	38.0518	1547.918	83
1.01	1.015	29.5737	62.3408	19.61205	38.72093	-0.81	0.05	0.00017	4.98	8.135	38.0521	1547.913	84
1.29	1.293	29.5741	62.3348	19.61205	38.72092	0.81	0.07	0.000184	4.98	8.135	38.0475	1547.914	85
1.68	1.688	29.5768	62.3473	19.61205	38.72092	-0.22	0.06	0.000267	4.99	8.135	38.0539	1547.933	86
1.99	2.007	29.565	62.3425	19.61205	38.72092	-0.81	0.07	0.000197	5	8.136	38.0598	1547.92	87
2.27	2.28	29.523	62.3167	19.61204	38.72092	-0.09	0.05	0.000211	5.01	8.136	38.0752	1547.853	88
2.78	2.797	29.4655	62.2173	19.61204	38.72092	-0.54	0.04	0.000168	5.03	8.136	38.0519	1547.718	89
3.21	3.233	29.4526	62.1957	19.61204	38.72092	-0.27	0.07	0.000159	5.04	8.136	38.047	1547.693	90
3.7	3.719	29.4217	62.1718	19.61204	38.72091	0.14	0.09	0.000164	5.05	8.137	38.0549	1547.645	91
4.28	4.301	29.3323	62.0967	19.61203	38.72091	-0.36	0.07	0.000174	5.07	8.138	38.0737	1547.487	92
4.77	4.795	29.1992	61.9455	19.61203	38.72091	-0.63	0.09	0.000161	5.09	8.139	38.0744	1547.216	93
5.36	5.397	29.0179	61.6268	19.61203	38.72091	0.18	0.11	0.000177	5.11	8.14	37.9967	1546.762	94
6.02	6.058	28.8907	61.506	19.61203	38.72091	0.27	0.1	0.000168	5.12	8.141	38.0137	1546.521	95
6.7	6.74	28.858	61.4674	19.61202	38.72091	0	0.1	0.000168	5.13	8.142	38.0125	1546.462	96
7.31	7.353	28.8395	61.4398	19.61202	38.72091	0.18	0.1	0.000179	5.13	8.142	38.0079	1546.427	97
7.96	8.005	28.8182	61.3999	19.61202	38.7209	0.63	0.09	0.000156	5.13	8.143	37.9968	1546.381	98
8.72	8.777	28.8105	61.416	19.61202	38.7209	-0.29	0.09	0.000235	5.13	8.143	38.014	1546.396	99
9.56	9.62	28.8046	61.4112	19.61201	38.7209	-0.09	0.09	0.000161	5.13	8.143	38.015	1546.399	100
10.31	10.376	28.7828	61.3789	19.61201	38.7209	0.09	0.09	0.000156	5.13	8.144	38.0096	1546.359	101
10.98	11.048	28.757	61.3385	19.61201	38.7209	-0.49	0.09	0.000153	5.14	8.144	38.0017	1546.307	102
11.7	11.77	28.7275	61.29	19.61201	38.7209	0	0.08	0.000148	5.14	8.145	37.9911	1546.245	103
12.53	12.611	28.5718	61.1253	19.61201	38.72089	0.23	0.08	0.000171	5.15	8.145	37.9999	1545.935	104
13.38	13.466	28.2657	60.9328	19.612	38.72089	0.63	0.07	0.000159	5.19	8.144	38.1103	1545.406	105
13.97	14.058	28.1628	60.9122	19.612	38.72089	-0.18	0.09	0.000163	5.22	8.144	38.1788	1545.265	106
14.72	14.806	28.1691	60.9367	19.612	38.72089	0.11	0.1	0.000172	5.23	8.144	38.1909	1545.304	107
15.7	15.798	28.1346	60.9551	19.612	38.72089	0.18	0.08	0.000202	5.24	8.144	38.2317	1545.288	108
16.44	16.546	28.0863	60.8983	19.61199	38.72089	0.09	0.07	0.000163	5.26	8.145	38.2303	1545.194	109
17.1	17.201	28.075	60.8615	19.61199	38.72089	0.36	0.07	0.000188	5.27	8.146	38.2131	1545.163	110
17.9	18.013	28.0689	60.8667	19.61199	38.72089	0.18	0.09	0.000166	5.28	8.146	38.2215	1545.172	111
18.74	18.852	28.0666	60.8959	19.61199	38.72089	-0.31	0.09	0.000174	5.28	8.146	38.2438	1545.205	112
19.53	19.652	28.0532	60.8736	19.61199	38.72089	0.18	0.1	0.000174	5.29	8.146	38.2386	1545.184	113
20.29	20.41	28.0308	60.8292	19.61199	38.72089	0	0.11	0.00019	5.3	8.146	38.225	1545.133	114
21.09	21.225	28.0039	60.8054	19.61198	38.72089	-0.09	0.12	0.000179	5.31	8.147	38.2297	1545.093	115
21.83	21.96	28.0044	60.8218	19.61198	38.72089	0.81	0.09	0.000202	5.31	8.147	38.2407	1545.118	116
22.55	22.688	28.0003	60.8158	19.61198	38.72089	0.18	0.11	0.000184	5.31	8.147	38.2396	1545.12	117
23.4	23.545	27.9932	60.818	19.61198	38.7209	0.27	0.12	0.000168	5.31	8.148	38.2466	1545.127	118
24.2	24.346	27.9815	60.8228	19.61198	38.7209	-0.54	0.11	0.000181	5.32	8.148	38.2593	1545.128	119
24.9	25.059	27.9609	60.8183	19.61198	38.7209	-0.04	0.11	0.000204	5.32	8.148	38.2726	1545.109	120
25.64	25.8	27.9424	60.7659	19.61198	38.7209	0.27	0.12	0.00017	5.32	8.149	38.2502	1545.057	121
26.42	26.584	27.9266	60.7584	19.61197	38.7209	0.18	0.14	0.000159	5.32	8.149	38.2575	1545.044	122
27.28	27.445	27.8948	60.7157	19.61197	38.7209	0.25	0.16	0.000192	5.33	8.149	38.2527	1544.983	123
28.04	28.218	27.8642	60.7094	19.61197	38.7209	0.54	0.17	0.000152	5.33	8.149	38.273	1544.951	124
28.68	28.862	27.8667	60.7278	19.61197	38.72091	0.18	0.14	0.000179	5.33	8.148	38.2838	1544.979	125
29.48	29.665	27.8868	60.8528	19.61197	38.72091	0.18	0.15	0.000161	5.32	8.147	38.3563	1545.113	126
30.31	30.495	27.8665	60.8719	19.61197	38.72091	0.36	0.16	0.000157	5.32	8.146	38.3863	1545.114	127
31.02	31.214	27.8325	60.8816	19.61197	38.72091	0.25	0.17	0.000158	5.33	8.145	38.4209	1545.088	128
31.78	31.975	27.7822	60.8454	19.61197	38.72091	0	0.18	0.000159	5.33	8.145	38.436	1545.007	129
32.58	32.779	27.7015	60.8214	19.61197	38.72091	0.27	0.18	0.000148	5.34	8.144	38.4848	1544.895	130
33.29	33.493	27.5803	60.6772	19.61197	38.72091	0.32	0.2	0.000161	5.36	8.141	38.481	1544.635	131
34.08	34.295	27.4854	60.6074	19.61197	38.72092	0.27	0.24	0.000141	5.36	8.14	38.5088	1544.468	132
34.8	35.012	27.5084	60.6845	19.61197	38.72092	0.45	0.22	0.000138	5.34	8.138	38.5451	1544.57	133
35.53	35.746	27.5576	60.819	19.61197	38.72092	0.18	0.28	0.000143	5.32	8.137	38.6009	1544.75	134
36.37	36.598	27.4904	60.7808	19.61197	38.72092	0.18	0.28	0.000138	5.32	8.135	38.6287	1544.645	135
37.05	37.278	27.4032	60.6696	19.61197	38.72092	0.23	0.29	0.00014	5.31	8.135	38.6207	1544.455	136
37.76	37.998	27.2998	60.5403	19.61196	38.72092	0.18	0.32	0.000161	5.31	8.136	38.6129	1544.229	137
38.51	38.754	27.2347	60.4455	19.61197	38.72093	0.36	0.34	0.000136	5.3	8.136	38.5982	1544.081	138
39.33	39.579	27.1672	60.3671	19.61197	38.72093	0.31	0.32	0.000156	5.29	8.136	38.5973	1543.943	139
39.99	40.242	27.0852	60.3057	19.61196	38.72093	0.36	0.37	0.000147	5.28	8.136	38.6208	1543.795	140
40.65	40.902	27.0101	60.1597	19.61196	38.72094	0.36	0.38	0.000147	5.27	8.136	38.5772	1543.592	141
41.52	41.774	26.9137	60.0592	19.61197	38.72094	0.36	0.42	0.000141	5.26	8.136	38.5843	1543.397	142
42.22	42.484	26.8338	59.9985	19.61197	38.72094	0.27	0.47	0.00015	5.25	8.136	38.6066	1543.252	143
42.95	43.218	26.771	59.9512	19.61197	38.72094	0.27	0.48	0.000144	5.23	8.135	38.6243	1543.142	144
43.71	43.98	26.7351	59.9446	19.61197	38.72095	0.54	0.55	0.000148	5.2	8.135	38.6493	1543.1	145
44.39	44.669	26.7044	59.9219	19.61197	38.72095	0.45	0.52	0.000148	5.18	8.135	38.6583	1543.051	146
45.11	45.395	26.6853	59.9063	19.61197	38.72095	0.45	0.55	0.000143	5.15	8.135	38.6626	1543.025	147
45.94	46.229	26.654	59.9031	19.61197	38.72095	0.54	0.58	0.000157	5.12	8.135	38.6863	1542.993	148
46.65	46.936	26.616	59.8837	19.61197	38.72096	0.57	0.61	0.000147	5.1	8.134	38.7037	1542.937	149
47.27	47.561	26.5861	59.8763	19.61197	38.72096	0.72	0.64	0.000143	5.08	8.134	38.7233	1542.901	150
48	48.295	26.5548	59.8646	19.61197	38.72097	0.27	0.7	0.000152	5.06	8.134	38.7407	1542.86	151
48.77	49.07	26.5611	59.897	19.61197	38.72097	0.75	0.72	0.000148	5.03	8.134	38.7589	1542.907	152
49.47	49.777	26.5667	59.932	19.61197	38.72097	0.54	0.74	0.000152	5.01	8.133	38.7796	1542.954	153
50.14	50.454	26.5443	59.9353	19.61197	38.72098	0.72	0.86	0.000156	4.99	8.133	38.8007	1542.937	154
50.84	51.158	26.5032	59.9425	19.61197	38.72098	0.36	0.9	0.000157	4.97	8.132	38.8404	1542.897	155
51.54	51.863	26.4778	59.9845	19.61197	38.72099	0.18	1.03	0.000166	4.95	8.131	38.8925	1542.907	156
52.32	52.648	26.4514	60.0269	19.61197	38.72099	0.6	1.16	0.000157	4.92	8.129	38.9457	1542.917	157
53.07	53.403	26.425	60.0621	19.61198	38.72099	0.54	1.12	0.000156	4.89	8.127	38.9937	1542.921	158
53.67	54.007	26.407	60.0851	19.61198	38.72099	0.63	1.06	0.000147	4.84	8.125	39.0256	1542.924	159
54.35	54.686	26.3828	60.083	19.61198	38.721	0.39	1.07	0.000167	4.79	8.124	39.0445	1542.9	160
55.28	55.622	26.3715	60.1013	19.61198	38.721	0.45	1.07	0.000179	4.73	8.123	39.0672	1542.915	161
55.97	56.316	26.3416	60.1037	19.61198	38.721	0.45	1.03	0.000138	4.68	8.12	39.0942	1542.887	162
56.62	56.97	26.3156	60.105	19.61198	38.721	0.81	1	0.00015	4.64	8.119	39.1171	1542.863	163
57.42	57.777	26.2897	60.114	19.61198	38.72101	0.63	0.94	0.000152	4.59	8.118	39.1456	1542.848	164
58.07	58.438	26.2791	60.1081	19.61198	38.72101	0.58	0.94	0.00015	4.54	8.117	39.1501	1542.839	165
58.85	59.22	26.2764	60.1118	19.61198	38.72102	0.63	0.91	0.000138	4.49	8.117	39.1548	1542.851	166
59.71	60.085	26.2622	60.1235	19.61198	38.72102	0.81	0.86	0.000148	4.45	8.116	39.1752	1542.855	167
60.37	60.745	26.2345	60.1393	19.61199	38.72102	0.81	0.85	0.000134	4.42	8.116	39.2104	1542.84	168
61.11	61.497	26.2155	60.1474	19.61199	38.72102	0.36	0.85	0.000132	4.39	8.115	39.2324	1542.833	169
61.93	62.322	26.1826	60.1605	19.61199	38.72103	0.33	0.79	0.000136	4.35	8.113	39.27	1542.811	170
62.6	62.991	26.1399	60.1716	19.61199	38.72103	0.36	0.73	0.00017	4.32	8.114	39.3146	1542.772	171
63.37	63.773	26.1027	60.1687	19.61199	38.72103	0.36	0.69	0.000134	4.29	8.115	39.3443	1542.732	172
64.16	64.56	26.0914	60.1765	19.61199	38.72104	0.64	0.68	0.00014	4.26	8.115	39.3594	1542.735	173
64.87	65.276	26.0648	60.17	19.61199	38.72104	0.27	0.7	0.000123	4.23	8.114	39.3773	1542.705	174
65.49	65.905	26.0407	60.1595	19.61199	38.72104	0.63	0.66	0.000127	4.21	8.114	39.3901	1542.674	175
66.36	66.779	26.0207	60.1655	19.61199	38.72104	0.81	0.63	0.00015	4.19	8.114	39.4115	1542.665	176
67.2	67.621	25.9762	60.176	19.61199	38.72105	0.45	0.64	0.000132	4.17	8.116	39.4574	1542.626	177
67.94	68.369	25.9491	60.1672	19.612	38.72105	0.48	0.58	0.000129	4.16	8.116	39.4741	1542.594	178
68.68	69.116	25.9236	60.1565	19.612	38.72105	0.27	0.58	0.000125	4.16	8.114	39.4879	1542.562	179
69.47	69.909	25.8678	60.153	19.612	38.72105	0.18	0.58	0.000129	4.15	8.112	39.5334	1542.495	180
70.09	70.536	25.8316	60.14	19.612	38.72106	0.45	0.55	0.000125	4.14	8.112	39.5549	1542.445	181
70.9	71.347	25.7948	60.118	19.612	38.72106	0.36	0.57	0.000127	4.11	8.113	39.5702	1542.39	182
71.68	72.128	25.6938	60.1183	19.61201	38.72106	0.24	0.49	0.000129	4.09	8.118	39.6582	1542.262	183
72.45	72.909	25.6006	60.0239	19.61201	38.72107	0.27	0.46	0.000123	4.09	8.124	39.6686	1542.069	184
73.24	73.704	25.5054	59.9707	19.61201	38.72107	0.09	0.42	0.000123	4.11	8.131	39.7118	1541.907	185
73.93	74.393	25.3492	59.7287	19.61201	38.72107	0.26	0.41	0.000116	4.16	8.14	39.6666	1541.503	186
74.63	75.1	25.1766	59.4573	19.61201	38.72107	0.27	0.4	0.000106	4.23	8.146	39.6132	1541.051	187
75.46	75.932	25.1599	59.5024	19.61201	38.72108	0.36	0.37	0.000118	4.31	8.147	39.6617	1541.077	188
76.35	76.834	25.0835	59.4359	19.61201	38.72108	0.18	0.39	0.00012	4.39	8.153	39.6783	1540.93	189
77.06	77.543	24.9973	59.4177	19.61202	38.72108	-0.36	0.35	0.000111	4.47	8.162	39.7403	1540.804	190
77.62	78.106	24.955	59.2465	19.61202	38.72108	-0.02	0.34	0.000131	4.56	8.166	39.6476	1540.613	191
78.47	78.961	24.9384	59.2676	19.61202	38.72108	0.18	0.35	0.000116	4.65	8.17	39.678	1540.62	192
79.3	79.802	24.9304	59.2997	19.61202	38.72109	0.18	0.34	0.000118	4.74	8.169	39.7091	1540.649	193
80.09	80.595	24.9204	59.3073	19.61202	38.72109	0.31	0.37	0.000123	4.83	8.168	39.7233	1540.654	194
80.9	81.415	24.9598	59.3805	19.61202	38.72109	0.18	0.42	0.000116	4.89	8.157	39.7438	1540.784	195
81.67	82.188	24.9881	59.4887	19.61203	38.72109	0.27	0.41	0.000113	4.91	8.148	39.8005	1540.925	196
82.4	82.922	24.9722	59.5457	19.61203	38.7211	0.18	0.39	0.000113	4.88	8.147	39.8576	1540.962	197
83.23	83.753	24.9421	59.5647	19.61203	38.7211	0.18	0.41	0.000123	4.84	8.145	39.8983	1540.948	198
84.17	84.703	24.9199	59.5838	19.61203	38.7211	0.21	0.39	0.00012	4.78	8.145	39.9322	1540.948	199
84.97	85.51	24.8875	59.6024	19.61203	38.7211	0.27	0.37	0.000107	4.74	8.151	39.9749	1540.931	200
85.75	86.29	24.8843	59.5994	19.61203	38.7211	0.18	0.36	0.000109	4.71	8.15	39.9752	1540.936	201
86.68	87.228	24.8909	59.6274	19.61203	38.7211	0.45	0.36	0.000118	4.7	8.147	39.9902	1540.984	202
87.41	87.963	24.889	59.6682	19.61203	38.7211	0.54	0.34	0.000111	4.69	8.147	40.0228	1541.027	203
88.15	88.706	24.8827	59.6753	19.61204	38.7211	0.4	0.34	0.00011	4.67	8.149	40.0334	1541.036	204
89.13	89.694	24.8722	59.6987	19.61204	38.7211	0	0.33	0.000127	4.66	8.152	40.0603	1541.057	205
90.03	90.603	24.8648	59.6973	19.61204	38.7211	0.27	0.36	0.000129	4.65	8.153	40.0655	1541.06	206
90.82	91.392	24.8562	59.7124	19.61204	38.7211	0.3	0.35	0.000116	4.66	8.154	40.0844	1541.073	207
91.54	92.123	24.8161	59.7192	19.61204	38.7211	0.27	0.32	0.000106	4.68	8.156	40.125	1541.034	208
92.36	92.946	24.7343	59.6302	19.61204	38.7211	0	0.32	0.000114	4.7	8.16	40.1301	1540.858	209
93.34	93.935	24.62	59.5002	19.61204	38.7211	0.45	0.29	0.000125	4.73	8.165	40.1328	1540.604	210
94.18	94.779	24.5089	59.3518	19.61204	38.7211	0.45	0.29	0.00012	4.78	8.169	40.1187	1540.336	211
94.93	95.537	24.5026	59.3543	19.61205	38.7211	0.24	0.29	0.000103	4.83	8.167	40.1259	1540.341	212
95.9	96.51	24.5331	59.402	19.61205	38.7211	0.27	0.32	0.000122	4.88	8.161	40.1347	1540.44	213
96.66	97.27	24.5289	59.4373	19.61205	38.7211	0.09	0.31	0.000107	4.9	8.16	40.1652	1540.476	214
97.54	98.156	24.5242	59.4337	19.61205	38.7211	0.12	0.31	0.000114	4.9	8.16	40.1664	1540.481	215
98.55	99.174	24.5199	59.4265	19.61205	38.7211	0.36	0.33	0.000127	4.89	8.159	40.1643	1540.485	216
99.28	99.914	24.5094	59.4374	19.61205	38.7211	0.18	0.31	0.00012	4.88	8.158	40.1819	1540.491	217
100.06	100.696	24.4738	59.3866	19.61205	38.7211	0.27	0.33	0.000109	4.86	8.158	40.1747	1540.411	218
101.07	101.716	24.4589	59.3721	19.61205	38.7211	0.27	0.34	0.000109	4.85	8.158	40.1766	1540.394	219
101.97	102.62	24.4262	59.3448	19.61205	38.7211	0.05	0.3	0.000118	4.84	8.159	40.1848	1540.339	220
102.77	103.427	24.315	59.1948	19.61205	38.7211	0.18	0.29	0.000118	4.84	8.161	40.1694	1540.068	221
103.59	104.251	24.1996	59.1643	19.61206	38.72109	0.09	0.4	0.00012	4.85	8.166	40.2498	1539.89	222
104.5	105.169	24.1434	59.0877	19.61206	38.72109	0.14	0.25	0.000115	4.86	8.168	40.2412	1539.759	223
105.45	106.121	24.1006	58.99	19.61206	38.72109	0.36	0.23	0.000127	4.89	8.168	40.2041	1539.631	224
106.35	107.028	24.082	58.9714	19.61206	38.72109	0.18	0.21	0.000145	4.92	8.168	40.2063	1539.603	225
107.1	107.782	24.0695	58.9199	19.61206	38.72109	0.18	0.25	0.000114	4.95	8.169	40.1775	1539.554	226
107.92	108.61	24.0413	58.8751	19.61206	38.72109	0.18	0.22	0.000161	4.97	8.169	40.1681	1539.489	227
108.89	109.588	24.0026	58.8139	19.61206	38.72109	0.24	0.22	0.000132	4.99	8.167	40.1554	1539.397	228
109.77	110.474	23.9476	58.7638	19.61206	38.72109	0.27	0.21	0.00012	5	8.168	40.1661	1539.289	229
