profile	date	depth	temperature	salinity	density	chlorophyll
2	9/30/2015	22.433752	27.839	40.322	26.45906609	0.0672
2	9/30/2015	24.473184	27.812	40.314	26.46198675	0.0714
2	9/30/2015	26.512616	27.784	40.306	26.46523309	0.0714
2	9/30/2015	28.552048	27.773	40.304	26.46736929	0.0777
2	9/30/2015	30.59148	27.766	40.301	26.46742457	0.0777
2	9/30/2015	32.630912	27.759	40.3	26.46898893	0.0735
2	9/30/2015	34.670344	27.754	40.298	26.46913571	0.0819
2	9/30/2015	36.709776	27.735	40.293	26.47165401	0.0819
2	9/30/2015	38.749208	27.532	40.269	26.52059505	0.1029
2	9/30/2015	40.78864	27.296	40.242	26.57778	0.1197
2	9/30/2015	42.828072	27.218	40.231	26.59501877	0.1134
2	9/30/2015	44.867504	27.01	40.21	26.64705717	0.1407
2	9/30/2015	46.906936	26.904	40.197	26.67171357	0.1407
2	9/30/2015	48.946368	26.74	40.182	26.71355662	0.1575
2	9/30/2015	50.9858	26.514	40.17	26.77743961	0.1722
2	9/30/2015	53.1272036	26.192	40.16	26.87316264	0.1932
2	9/30/2015	55.064664	25.942	40.165	26.95660502	0.2226
2	9/30/2015	57.104096	25.772	40.165	27.01050677	0.252
2	9/30/2015	59.143528	25.602	40.164	27.06343471	0.2394
2	9/30/2015	61.18296	25.345	40.174	27.15175838	0.2751
2	9/30/2015	63.222392	25.091	40.168	27.22652921	0.2667
2	9/30/2015	65.261824	24.933	40.167	27.27486383	0.2856
2	9/30/2015	67.301256	24.828	40.181	27.31800067	0.2982
2	9/30/2015	69.340688	24.812	40.182	27.32370743	0.2982
2	9/30/2015	71.38012	24.767	40.187	27.34140655	0.3066
2	9/30/2015	73.419552	24.71	40.206	27.37341181	0.3024
2	9/30/2015	75.458984	24.559	40.222	27.43204368	0.3423
2	9/30/2015	77.498416	24.457	40.226	27.46638858	0.3633
2	9/30/2015	79.537848	24.219	40.232	27.54369161	0.4179
2	9/30/2015	81.57728	24.129	40.231	27.57032999	0.4431
2	9/30/2015	83.616712	23.967	40.232	27.62024861	0.5082
2	9/30/2015	85.656144	23.856	40.23	27.65229628	0.5271
2	9/30/2015	87.695576	23.786	40.232	27.6749352	0.6489
2	9/30/2015	89.735008	23.652	40.239	27.72057836	0.735
2	9/30/2015	91.77444	23.537	40.247	27.76115583	0.7287
2	9/30/2015	93.813872	23.489	40.252	27.77932554	0.6573
2	9/30/2015	95.853304	23.441	40.26	27.79975872	0.5481
2	9/30/2015	97.892736	23.377	40.267	27.82418915	0.5166
2	9/30/2015	99.932168	23.303	40.273	27.85080675	0.4536
2	9/30/2015	101.9716	23.238	40.284	27.87851051	0.3906
2	9/30/2015	104.011032	23.21	40.289	27.89063387	0.3234
2	9/30/2015	106.050464	23.181	40.294	27.90304839	0.273
2	9/30/2015	108.089896	23.141	40.299	27.91871924	0.2751
2	9/30/2015	110.129328	23.119	40.302	27.92752331	0.3003
2	9/30/2015	112.16876	23.093	40.306	27.93826929	0.3024
2	9/30/2015	114.208192	23.062	40.311	27.95125088	0.3255
2	9/30/2015	116.1456524	23.018	40.317	27.96882985	0.3087
2	9/30/2015	118.287056	22.992	40.319	27.97803484	0.3129
2	9/30/2015	120.326488	22.962	40.324	27.99069817	0.3003
2	9/30/2015	122.36592	22.912	40.33	28.01001351	0.2751
2	9/30/2015	124.405352	22.861	40.337	28.03036568	0.2688
2	9/30/2015	126.444784	22.804	40.348	28.05550709	0.2247
2	9/30/2015	128.484216	22.791	40.351	28.06161169	0.2163
2	9/30/2015	130.523648	22.785	40.352	28.06413604	0.2268
2	9/30/2015	132.56308	22.772	40.355	28.07023887	0.1995
2	9/30/2015	134.602512	22.753	40.36	28.07962464	0.1974
2	9/30/2015	136.641944	22.744	40.362	28.0837892	0.1932
2	9/30/2015	138.681376	22.736	40.364	28.08765971	0.1932
2	9/30/2015	140.720808	22.732	40.365	28.08959479	0.1827
2	9/30/2015	142.8622116	22.725	40.366	28.09240998	0.1869
2	9/30/2015	144.799672	22.719	40.367	28.09493146	0.1764
2	9/30/2015	146.839104	22.705	40.369	28.10056014	0.1785
2	9/30/2015	148.878536	22.639	40.376	28.12522676	0.1953
2	9/30/2015	150.917968	22.603	40.379	28.1380445	0.1848
2	9/30/2015	152.9574	22.549	40.388	28.16067939	0.1974
2	9/30/2015	154.996832	22.525	40.393	28.17149398	0.1953
2	9/30/2015	157.036264	22.483	40.403	28.19136149	0.1764
2	9/30/2015	159.1776676	22.456	40.409	28.20380039	0.1596
2	9/30/2015	160.9111848	22.439	40.413	28.21179885	0.1617
3	10/1/2015	2.54929	28.854	40.354	26.14258875	0.0231
3	10/1/2015	4.078864	28.851	40.357	26.14586692	0.0357
3	10/1/2015	6.118296	28.845	40.356	26.14714868	0.0336
3	10/1/2015	8.157728	28.84	40.356	26.14884451	0.0357
3	10/1/2015	10.19716	28.834	40.356	26.15087928	0.0378
3	10/1/2015	12.236592	28.828	40.355	26.15216028	0.0378
3	10/1/2015	14.276024	28.813	40.354	26.15649188	0.0525
3	10/1/2015	16.315456	28.804	40.353	26.15878864	0.0399
3	10/1/2015	18.354888	28.801	40.353	26.15980527	0.0483
3	10/1/2015	20.39432	28.784	40.35	26.16330428	0.0525
3	10/1/2015	22.433752	28.757	40.346	26.16943331	0.0504
3	10/1/2015	24.473184	28.726	40.341	26.17615656	0.0588
3	10/1/2015	26.512616	28.699	40.338	26.18302747	0.0609
3	10/1/2015	28.552048	28.639	40.33	26.19727178	0.0714
3	10/1/2015	30.59148	28.572	40.319	26.21158822	0.0672
3	10/1/2015	32.7328836	28.494	40.308	26.2295738	0.0756
3	10/1/2015	34.670344	28.353	40.288	26.26188295	0.0777
3	10/1/2015	36.709776	28.296	40.283	26.27722802	0.0903
3	10/1/2015	38.749208	28.223	40.275	26.29564117	0.0819
3	10/1/2015	40.78864	27.809	40.218	26.39053377	0.1092
3	10/1/2015	42.828072	26.962	40.126	26.59920756	0.1239
3	10/1/2015	44.867504	26.461	40.145	26.77558723	0.1386
3	10/1/2015	46.906936	26.2	40.154	26.86606644	0.1533
3	10/1/2015	48.946368	25.95	40.16	26.95027869	0.1722
3	10/1/2015	50.9858	25.892	40.161	26.96945306	0.1806
3	10/1/2015	53.025232	25.876	40.161	26.97452932	0.1953
3	10/1/2015	55.064664	25.815	40.164	26.99613617	0.2121
3	10/1/2015	57.104096	25.746	40.167	27.02024579	0.2331
3	10/1/2015	59.143528	25.721	40.168	27.02890665	0.2667
3	10/1/2015	61.18296	25.69	40.17	27.04021519	0.2562
3	10/1/2015	63.222392	25.611	40.175	27.06892855	0.2877
3	10/1/2015	65.261824	25.487	40.181	27.11250526	0.3087
3	10/1/2015	67.301256	25.393	40.184	27.14429039	0.3255
3	10/1/2015	69.340688	25.255	40.189	27.19128588	0.3108
3	10/1/2015	71.38012	25.043	40.194	27.26117289	0.2835
3	10/1/2015	73.419552	24.856	40.201	27.3245023	0.315
3	10/1/2015	75.458984	24.65	40.207	27.39266507	0.3255
3	10/1/2015	77.498416	24.528	40.216	27.43701526	0.3654
