"","diff","lwr","upr","p adj"
"InSitu-Cold",0.371545719875,0.275687946247059,0.467403493502941,0
"Warm-Cold",0.461340385625,0.365482611997059,0.557198159252941,0
"In-Control",0.207046605166667,0.0844707316084305,0.329622478724903,0.001
"InOrg-Control",0.334079496333333,0.211503622775097,0.456655369891569,0
"InOrg-In",0.127032891166667,0.00445701760843054,0.249608764724903,0.041
"Org-InOrg",-0.215739149333333,-0.338315022891569,-0.0931632757750972,0.001
