Name,Role,Dead_S1,Age_actor
Emilia_Clarke,Daenerys_Targaryen,FALSE,32
Kit_Harington,Jon_Snow,FALSE,32
Masie_Williams,Arya_Stark,FALSE,21
Peter_Dinklage,Tyrion_Lannister,FALSE,49
Jason_Mamoa,Khal_Drogo,TRUE,39
Sean_Bean,Ned_Stark,TRUE,59
